doi,replicated,discipline,year,what_manipulated,what_measured,experiment,design,manipulation,effect_structure,focus,clarity,rigor,transparency,N,ES,P
10.1177/0022243718813544,0,Marketing,2019,exposure to visual viewpoint from high versus low vertical position,risk-taking behavior (choices or actions in risky scenarios),Units are randomly assigned to view scenery from high or low elevation perspectives in laboratory and real settings. Studies 1-3 examine the effect in controlled settings; Study 4 uses real-world observations. A mediation analysis (Study 2) tests whether illusory sense of control explains the elevation effect. Study 3 tests whether mental construal level moderates the effect.,mixed,randomized-experiment,mediation-or-moderation,few-confirmatory,clearly-operationalized,standard,none,203.0,0.029,0.016
10.1177/0022243720904758,1,Marketing,2020,ad structure: before/after presentation versus progression (intermediate steps); consumer goal (quick results versus change acceptance); ability to achieve results quickly,perceived credibility of ad and persuasion (purchase intention or belief change),Units are exposed to different ad structures and consumer goals are manipulated or measured. Studies 1-3 test whether progression ads increase process simulation and credibility. Studies 4-5 test moderators (simulation impairment and skepticism). Studies 6-7 test reversals when fast results are desired and possible. Effects are measured on perceived credibility and persuasion outcomes.,mixed,randomized-experiment,interaction,few-confirmatory,clearly-operationalized,standard,none,213.0,,0.01
10.1177/0022243720932532,1,Marketing,2020,price presentation mode: stimulus-based (both prices visible) versus memory-based (one or both prices retrieved from memory),magnitude of left-digit bias in price comparison (perceived difference between prices),Units are participants in five experiments and a scanner panel study. Stimulus-based conditions show prices side-by-side; memory-based conditions require recall. The left-digit bias magnitude is measured by comparing perceived difference to actual numeric difference. Price representations (perceptual vs. conceptual) are theorized to mediate the effect.,between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,controls-and-power-reported,none,145.0,0.93,0.029
10.1177/0093650215609676,0,Social Psychology,2015,source type (personal: friends/family versus impersonal: organization); perceived source credibility,"willingness to engage in connective-type collective activities (commenting, liking, sharing on social media)","Units (N=208) receive messages from personal or impersonal sources. Cognitive elaboration and perceived source credibility are measured. Mediation analysis tests whether elaboration mediates the effect of source type on engagement, with source credibility as a moderator. Direct effects of personal involvement and perceived efficacy are also examined.",between-subjects,randomized-experiment,mediation-or-moderation,few-confirmatory,clearly-operationalized,standard,none,208.0,0.44,0.001
10.1177/0146167202286008,1,Psychology,2002,reference group for bias comparison (self versus average American versus classroom peers versus airport travelers); exposure to bias description,perceived susceptibility to cognitive and motivational biases (self-rated judgment compared to others),Study 1 surveys units comparing self-ratings to various reference groups. Study 2 tests whether exposure to bias descriptions changes self-assessments. Study 3 examines whether participants maintain claims of accuracy after bias education. Study 4 compares self-serving attributions in self versus peer evaluations. The consistent finding is greater perceived bias in others than self.,mixed,randomized-experiment,simple-association,few-confirmatory,clearly-operationalized,standard,none,60.5,,0.001
10.1177/0146167207309195,1,Social Psychology,2008,threat context (realistic threat condition versus control); stereotype content (positive model-minority attributes versus other positive attributes),attitudes and emotions toward a target group,Study 1: units are assigned to read group descriptions with model-minority or alternative positive attributes and rate attitudes in realistic threat context. Study 2: measures threat and stereotypes as predictors of attitudes. Studies 3-4: replicate effect in experimental interactions with units from target group. Mediation analysis tests whether threat explains the stereotype-to-attitude relationship.,mixed,randomized-experiment,mediation-or-moderation,few-confirmatory,clearly-operationalized,standard,none,40.0,0.146,0.015
10.1177/0146167210386238,0,Social/cognitive psychology,2010,language concreteness (concrete versus abstract versions of identical statements); mental construal level (concrete versus abstract prime); spatial proximity of statement presentation (near versus far),judgment of statement truth (probability rating),Experiment 1-2: units judge truth of statements written in concrete or abstract language; vividness is measured as a mechanism. Experiment 3: units are primed with concrete or abstract mind-set before judging truth. Experiment 4: spatial distance is manipulated (proximal versus distant presentation). Language concreteness and construal level fit produce additive effects on truth judgments.,between-subjects,randomized-experiment,interaction,few-confirmatory,clearly-operationalized,standard,none,46.0,0.2475,0.003
10.1177/0146167212475225,0,Social Psychology,2013,retrospective report of intentions (inferred from post-hoc questionnaire); experimental manipulation of intention to rate primes versus targets; option to pass on trials where influenced,prime-to-target affect transfer effect size and reliability in the affect misattribution procedure,"Experiment 1: larger effect sizes correlate with retrospective reports of both intentional priming and unintentional influence, indicating confabulation. Experiment 2: direct manipulation of instruction to rate primes versus targets produces systematic effect differences. Experiment 3: option to pass does not reduce priming. Manipulations (not retrospective reports) reveal whether participants genuinely intend to rate primes.",between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,72.0,,0.55
10.1177/0146167214524992,0,Social Psychology,2014,cultural context (Asian American versus European American); parental pressure; mother-child interdependence norms,academic motivation following failure; perceived relationship strain with mother; achievement outcomes,"Units are high school students from Asian American or European American contexts. Baseline interdependence and pressure are measured. Following failure feedback, motivation is assessed. Analysis tests whether pressure strains relationships differently across cultural contexts and whether AAs are particularly motivated by pressure conveying interdependence. No random assignment; comparison is between naturally occurring cultural groups.",observational or correlational,observational,simple-association,few-confirmatory,partially-specified,standard,none,117.0,,0.01
10.1177/0146167215580776,0,Social Psychology,2015,construal level (high versus low); perceived changeability of feedback domain (changeable versus fixed),acceptance or dismissal of negative diagnostic feedback; motivation for self-change versus self-protection,"Four studies examine how construal level and changeability jointly determine feedback acceptance. Low-level construal promotes short-term self-protection (dismissal). High-level construal promotes long-term self-change (acceptance), but only when change is perceived as possible. Underlying cognitive and motivational mechanisms are examined. Units are exposed to negative feedback under different construal and changeability conditions.",between-subjects,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,327.0,0.44,0.006
10.1177/0146167215610520,1,Social Psychology,2015,causal explanation type (genetic versus environmental) for criminal behavior,perceived control of perpetrator; perceived internal causality; expectation of reoffending; sentencing decision,"Three studies (N=600 total) assign units to read case descriptions with genetic or environmental explanations. Mediation and path analysis reveal that genetic explanations simultaneously reduce perceived control (defensive) and increase internal attribution and reoffending expectation (harmful). These countervailing mechanisms predict sentencing in opposite directions, yielding no net effect on final verdict.",between-subjects,randomized-experiment,mediation-or-moderation,few-confirmatory,clearly-operationalized,standard,none,298.0,0.04,0.005
10.1177/01461672211025423,1,Social Psychology,2021,cultural context (Westerners versus Easterners); task type (eager versus vigilant); outcome type (independent versus interdependent),metamotivational beliefs about whether promotion or prevention motivation benefits task performance,Units from different cultural backgrounds rate how well different motivations fit different tasks. Analysis tests whether beliefs about task-motivation fit generalize across cultures and whether prevention bias (rather than promotion bias) emerges in Eastern contexts. Beliefs about fit for independent and interdependent outcomes are compared across cultures.,observational or correlational,observational,simple-association,few-confirmatory,partially-specified,standard,none,452.0,0.305,0.001
10.1177/01461672952111004,1,Judgment and Decision Making,1995,anchor value at predetermined percentile (15th versus 85th percentile of calibration distribution); judgment task (whether anchor is higher or lower than true value),estimation accuracy and anchoring effect size (transformed into percentile position in calibration group),"A calibration group provides estimates of uncertain quantities. Anchored units judge whether an anchor value is higher or lower than the true estimate, then estimate the quantity. The procedure allows transformation of estimates into percentiles and pooling across problems. Anchoring-like bias in the initial anchor judgment and confidence are examined.",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,104.0,,0.01
10.1177/0261927x01020004004,1,Social Psychology,2001,generic type (masculine versus other types) in German language descriptions,cognitive retrieval of male and female exemplars from memory (response to prompt to name favorite example in category),Native speakers of German are presented with different generic forms and asked to retrieve and name exemplars. Memory retrieval is compared across generic types. The study measures whether linguistic structure influences which gender exemplars are retrieved.,between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,90.0,,0.01
10.1177/0956797609358096,0,Social Psychology,2010,caloric drink intake (sugar-sweetened versus artificially sweetened soft drink); blood glucose levels as measured biomarker,future discounting rate (preference for smaller-sooner versus larger-later monetary rewards),"Units are randomly assigned to consume sugar-sweetened or artificially sweetened drinks. Blood glucose is measured as a biomarker of body-energy budget. Units then make intertemporal choices between rewards. Discounting rates are compared across groups while controlling for sex, age, BMI, and taste. The analysis examines whether blood glucose regulates choice as a function of metabolic state.",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,controls-and-power-reported,none,65.0,0.21,0.999
10.1177/0956797610372631,0,Cognitive Psychology,2010,"activation of good-luck superstition via saying (e.g., 'break a leg'), action (fingers crossed), or lucky charm versus control condition","performance on task (golf, motor dexterity, memory, anagram solving); perceived self-efficacy; task persistence","Experiments 1-4 randomly assign units to superstition-activation or control and measure subsequent task performance. Mediation analysis (Experiments 3-4) tests whether perceived self-efficacy mediates the effect. Experiment 4 examines task persistence as a mechanism by which self-efficacy improves performance. Studies span golfing, motor dexterity, memory, and anagrams.",between-subjects,randomized-experiment,mediation-or-moderation,few-confirmatory,clearly-operationalized,standard,none,28.0,0.83,0.05
10.1177/0956797610395393,0,Cognitive Psychology,2010,grammatical framing of behavior descriptions (imperfective vs. perfective aspect),attribution of intentionality to a person,Participants read descriptions of a person's behavior framed in one of two grammatical aspects and rated the person's intentionality. The study compared attribution levels between groups receiving imperfective vs. perfective descriptions. A mediation analysis examined whether imagined action detail explained the effect.,between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,48.0,0.76,0.01
10.1177/0956797610397956,1,Cognitive Psychology,2011,presence of ensemble statistical structure (mean size) across items,remembered size of individual items in a display,Participants studied colored-circle displays and recalled item sizes. The analysis examined whether recalled sizes were biased toward ensemble statistics (mean color-group size and overall mean). Multiple displays were tested to assess encoding at different levels of abstraction.,within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,21.0,,0.0004
10.1177/0956797611398497,0,Social Psychology,2011,"taste perception (sweet, bitter, or neutral control beverage)",moral judgment severity regarding transgressions,Participants consumed one of three beverages and then rated moral transgressions. The study examined main effects of taste and tested moderation by political ideology. Taste effects on moral disgust were compared across beverage conditions.,between-subjects,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,54.0,1.155,0.002
10.1177/0956797611402514,0,Political Psychology,2011,reminder of physical cleansing (purity cue vs. control),moral judgment of sexual-domain violations and political attitudes,"In Study 1, participants in public settings received a purity cue or no cue and reported political attitudes. In Study 2, lab participants were reminded of cleansing or received a control and rated sexual transgressions and reported political attitudes. Comparisons assessed cue effects on specific and broad moral judgments.",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,52.0,0.89,0.05
10.1177/0956797611413935,1,Social Psychology,2011,mortality prime (death thought vs. control) crossed with cultural self-construal group,attitudes toward norm violators and attributions about victims,Participants from two cultural backgrounds received a mortality or control prime. Study 1 measured attitudes toward a norm violator; Study 2 measured victim attributions. The analysis tested whether mortality effects diverged by cultural group.,between-subjects,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,controls-and-power-reported,none,22.0,,0.013
10.1177/0956797611414726,0,Political Psychology,2011,brief exposure to American flag (flag vs. control visual prime),"voting intentions, voting behavior, political beliefs, and explicit and implicit attitudes",Participants received a flag prime or control in online (Experiment 1) and lab (Experiment 2) settings. Voting intentions and behavior were tracked; some effects were assessed at 8-month follow-up. Political beliefs were measured immediately post-manipulation.,mixed,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,66.0,,0.05
10.1177/0956797611418350,1,Psychology,2011,intensity of negative emotional context (low vs. high via images or stimulation),choice between reappraisal and distraction as emotion-regulation strategies,Participants were exposed to emotional contexts of varying intensity (Experiments 1-2 using pictures; Experiment 3 using unpredictable stimulation) and chose between two emotion-regulation strategies. Choices were recorded across intensity levels.,within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,20.0,0.71,1e-06
10.1177/0956797611428079,0,Social Psychology,2012,dominance expression (dominant vs. communal behavior) crossed with leader race and gender,status conferred and backlash against the leader,Participants read scenarios or watched leaders displaying dominant or communal behaviors and rated leader status. The study tested whether race moderated the well-established gender-dominance backlash effect by comparing status conferral across race-gender-dominance combinations.,between-subjects,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,84.0,0.13,0.001
10.1177/0956797611434537,0,Social Psychology,2012,sociometric status (face-to-face respect and admiration within groups),"subjective well-being (life satisfaction, positive and negative emotions)","Four studies used correlational, experimental, and longitudinal methods. Participants reported or were assigned sociometric status in groups; well-being was measured concurrently or at follow-up. Mediation by feelings of power and acceptance was tested.",mixed,observational,mediation-or-moderation,single-hypothesis,clearly-operationalized,controls-and-power-reported,none,228.0,,0.003
10.1177/0956797611434540,0,Social Psychology,2012,activation of choice concept (emphasis on choice vs. control condition),"acceptance of wealth inequality, underestimation of societal factors, and policy support","Six experiments manipulated choice salience and measured subsequent judgments about wealth inequality. Participants rated existing inequality facts, estimated societal influences on success, and indicated support for redistribution policies. Between-condition comparisons assessed the effect of choice activation.",between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,48.0,0.594,0.03
10.1177/0956797612449177,0,Social Psychology,2012,moral framing of environmental discourse (harm/care vs. purity framing),environmental attitudes and their relationship to political ideology,Studies 1a-1b correlated moral values and ideology with environmental attitudes. Studies 2a-2b analyzed environmental messaging in media for moral content. Study 3 experimentally reframed pro-environmental rhetoric in purity terms and measured ideology effects. Ideology was a moderator examined across studies.,mixed,observational,mediation-or-moderation,few-confirmatory,clearly-operationalized,standard,none,308.0,-0.22999999999999998,0.025500000000000002
10.1177/0956797613494853,1,Cognitive Psychology,2013,"context of cognitive testing (memory test, vocabulary test, or no test; expectation of memory test)",subjective age (how old participants feel),"Older adults completed a baseline subjective-age rating, participated in a memory or control task, and re-rated subjective age. Younger adults provided a comparison group. The effects of task type and expectancy were examined.",between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,29.0,0.76,
10.1177/0956797613502732,0,Social Psychology,2013,product price (expensive vs. cheap) shown in sexual vs. neutral advertisements,tolerance for sexual imagery and emotional reactions to sexual advertisements,Two experiments presented ads pairing sexual or neutral scenes with expensive or cheap products. Participants (women and men) rated sexual imagery and emotional reactions. The analysis tested whether product price moderated gender differences in sexual-imagery reactions.,between-subjects,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,87.0,0.0935,0.034499999999999996
10.1177/0956797613508412,0,Social Psychology,2013,salience of racial progress (chronic exposure or experimental prime) crossed with beliefs about status-hierarchy legitimacy,perceived anti-White discrimination and victimhood claims,"Study 1 measured chronic salience of racial progress and legitimacy beliefs, then perceived bias. Study 2 experimentally manipulated racial-progress salience and measured bias perception. Study 3 examined self-affirmation as a mechanism. Moderation by legitimacy beliefs and mediation by threat were tested.",mixed,observational,interaction,single-hypothesis,clearly-operationalized,controls-and-power-reported,none,168.0,0.45,0.01
10.1177/0956797614527113,0,Social Psychology,2014,salience of changing national or state racial demographics (majority-minority shift vs. control),political-party leaning and political ideology (conservatism),Study 1 made California's demographic shift salient to unaffiliated White participants and measured party lean. Studies 2-3 primed national demographic change and measured ideology across party-affiliated participants. Moderation by group-status threat was examined as a mechanism.,between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,170.0,0.08,0.001
10.1177/0956797614534693,0,Social Psychology,2014,free-will beliefs (measured or experimentally reduced via neuroscience education),endorsement of retributive vs. consequentialist punishment attitudes,"Study 1 measured free-will beliefs and punishment attitudes. Studies 2-4 reduced free-will beliefs via lab manipulation or course enrollment, then measured punishment attitudes. Comparisons examined effects of free-will reduction on retributive but not consequentialist attitudes.",mixed,observational,main-effect,single-hypothesis,clearly-operationalized,controls-and-power-reported,none,88.0,0.45,0.04
10.1177/0956797614553009,1,Social Psychology,2014,assigned hierarchical rank (high vs. low),"acoustic properties of speech (pitch, pitch variability, loudness, loudness variability) and perceivers' inferences of rank",Experiment 1 assigned participants to high- or low-rank roles; their speech was recorded and acoustic properties measured. Experiment 2 used recordings to examine whether perceivers used acoustic cues to infer rank. Acoustic properties were examined as mediators of rank effects.,between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,40.0,1.233398852,0.001
10.1177/0956797614558718,1,Social Psychology,2014,presence of weak negotiation alternatives vs. no alternatives (affecting anchoring environment),first offers made and final negotiation outcomes,"Negotiators with weak alternatives, strong alternatives, or no alternatives made first offers in a structured negotiation. Final outcomes were recorded. Mediation by first offers and moderation by focus on countervailing anchors were tested.",between-subjects,randomized-experiment,mediation-or-moderation,single-hypothesis,clearly-operationalized,standard,none,288.0,0.76,0.001
10.1177/0956797614563108,0,Social Psychology,2015,exposure to God concept (reminders vs. control) crossed with perceived divine protection beliefs,willingness to engage in risky behavior in nonmoral domains,Seven studies presented reminders of God or control and measured risk-taking choices across domains. Mediation by perceived danger and moderation by belief in divine protection were tested. Study 8 examined emotional reactions when divine protection failed.,between-subjects,randomized-experiment,mediation-or-moderation,few-confirmatory,clearly-operationalized,standard,none,101.0,0.4485,0.031
10.1177/0956797614563958,1,Psychology,2015,presence or salience of resource scarcity as a contextual frame,magnitude of preference shift or context-effect susceptibility in valuation,"Units are exposed to decision scenarios under conditions of either high or low resource scarcity. Their value judgments and choices are recorded. The analysis examines whether context effects (e.g., anchoring or framing) exert less influence when scarcity is salient, compared to control conditions. The comparison is between scarcity-present and scarcity-absent contexts. Statistical tests assess the interaction between scarcity framing and the magnitude of classical context-effect phenomena.",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,577.0,0.07,0.05
10.1177/0956797615569889,0,Cognitive Psychology,2015,instructions to suppress versus recall episodic memories of aversive scenes,accuracy of memory suppression and subsequent involuntary retrieval of suppressed items,Units are trained on a think-no-think paradigm where they learn to either retrieve or suppress memories of aversive scenes when presented with retrieval cues. Performance is measured via recognition tests for suppressed versus rehearsed items. Groups include PTSD patients and trauma-exposed controls. The comparison examines suppression-induced forgetting (difference between suppressed and control items) and its correlation with symptom severity. Analysis tests whether inhibitory control mechanisms differ between groups.,between-subjects,quasi-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,18.0,0.322,0.001
10.1177/0956797615573516,1,Social Psychology,2015,engagement in self-promotional behavior (claiming positive attributes) versus control baseline,recipients' inferences about self-promoters' likeability and judgments of bragging or modesty,"Units (self-promoters) communicate positive self-information to recipients under various conditions. Recipients rate their impressions via scales of likeability, perceived bragging, and emotional reactions (pride, annoyance). The comparison is between self-promotion conditions and control conditions. Separate experiments test self-promoters' predictions of recipient reactions (Experiments 1-2) and recipients' actual reactions (Experiments 3). A mismatch between predicted and actual recipient affect is analyzed as a projection bias mechanism.",between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,154.0,0.07,0.001
10.1177/0956797615581491,1,psychology,2015,none (observational study examining baseline life satisfaction levels and their variability over time),mortality risk over 9-year follow-up period,"Units are a sample of older adults (n=4,458, initially age ≥50) tracked for mortality over 9 years (546 deaths). Life satisfaction is measured repeatedly across time, yielding both a mean (average level) and a variability measure (fluctuation across occasions). Cox proportional hazards models are fit predicting time-to-death from mean satisfaction, variability, and their interaction, controlling for age. The effect structure is examined as an interaction, testing whether the protective effect of mean satisfaction is modified by within-person variability.",longitudinal,observational,interaction,single-hypothesis,clearly-operationalized,standard,none,4458.0,0.93,0.001
10.1177/0956797615588195,1,Social Psychology,2015,"domain-specific self-perceived expertise (e.g., boosted via instruction or measured as a trait)",likelihood of claiming knowledge of nonexistent or fictitious concepts within that domain,"Units are presented with lists of concepts, some real and some fictitious, within a domain (e.g., finance, biology, geography). They report their familiarity with each item. Self-perceived expertise is assessed via questionnaire (Studies 1b, 2) or experimentally boosted (Study 4). The comparison measures whether units with higher self-perceived expertise more frequently claim knowledge of nonexistent items (overclaiming). Analysis involves correlational and causal designs. Study 3 introduces a warning about fictional items to test whether impression management mediates overclaiming.",between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,201.0,,0.01
10.1177/0956797615598739,1,Social Psychology,2015,gender of the creative person and/or gender-stereotypical characteristics of their behavior,attributed creativity and inferred agency / agentic capability,"Units are presented with creative outputs or descriptions of creative behavior, manipulating the agent's gender (Studies 2-5) or analyzing archival data on idea evaluations (Study 3). Ratings of creativity and related constructs (agency, competence) are collected. Studies 1 measures associations between creativity and masculine vs. feminine traits. Study 2 presents identical output from male vs. female agents. Studies 3-4 use archival data (idea evaluations, supervisor ratings of executives). Study 5 varies whether creative behavior is stereotypically masculine, testing whether the behavior-creativity link differs by agent gender. Mediation analysis (agency vs. competence) is conducted.",mixed,randomized-experiment,interaction,few-confirmatory,clearly-operationalized,standard,none,80.0,0.71,0.0015
10.1177/0956797615608267,1,Social Psychology,2015,salience of opportunity costs at the time of choice (explicit vs. implicit presentation of forgone alternatives),post-choice spread (difference in evaluation) between chosen items and opportunity costs,"Units make choices among items in three experiments where opportunity costs (best forgone alternatives) are either explicitly presented or remain implicit. Post-choice evaluations of chosen items, focal alternatives, and opportunity costs are collected. The comparison examines whether explicit vs. implicit opportunity cost salience alters the magnitude of post-choice preference change (spread between chosen and unchosen items). Analysis tests whether making opportunity costs salient at choice time influences subsequent preference evaluations.",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,101.0,,0.023
10.1177/0956797615612202,1,Social Psychology,2015,type of linguistic intergroup bias (LIB) used by a speaker when describing a target (favorable vs. unfavorable bias pattern),perceived social-group membership overlap between speaker and target,"Units read or hear a description of a target from a speaker, where the linguistic style indicates either favorable LIB (abstract positive, concrete negative behaviors) or unfavorable LIB (concrete positive, abstract negative behaviors). Participants infer whether the speaker and target share a social identity. Four studies use vignettes or naturalistic language samples. Analysis compares inference rates and confidence between favorable vs. unfavorable LIB conditions. The reversal test examines whether language patterns that signal in-group membership to the listener are indeed predicted by actual speaker-target group membership.",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,118.0,0.6,0.0075
10.1177/0956797615617779,1,Cognitive Psychology,2015,"presence and salience of Gestalt properties (connectedness, closure, continuity) in visual patterns, independent of expertise","magnitude of holistic processing (e.g., part-to-whole interference, composite effects) in recognition or discrimination","Units view line patterns or shapes that vary in the saliency of Gestalt information (high vs. low connectedness, closure, continuity). Holistic processing is measured via tasks such as composite effects (difficulty ignoring the whole when processing parts) or part-to-whole interactions. Comparisons are made between high-Gestalt and low-Gestalt patterns, and between novel patterns and faces or expertise domains. Analysis tests whether patterns with salient Gestalt properties elicit facelike holistic processing without explicit training or expertise development. Reaction times and errors are recorded.",within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,22.0,0.55,0.001
10.1177/0956797615624492,0,Social Psychology,2016,race and age of briefly presented faces (Black vs. White; adult vs. child) preceding threat-categorization tasks,speed and accuracy of identifying threatening versus nonthreatening objects or words,"Units complete sequential priming tasks where faces of varying race (Black/White) and age (adult/child) are briefly presented, followed by categorization of threatening or nonthreatening stimuli. Response times and errors are recorded. The comparison examines whether Black faces facilitate threat detection (faster/fewer errors for threats) and inhibit nonthreat detection, compared to White faces. Process-dissociation-procedure analyses separate automatic from controlled influences. All four experiments use the same basic design. Analyses test whether the racial effect depends on target age (child vs. adult).",within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,62.5,0.285,0.001
10.1177/0956797615625640,0,Cognitive Psychology,2016,"economic insecurity (induced via unemployment, state-level cues, or priming) or manipulation of perceived control",physical pain intensity/threshold or consumption of over-the-counter painkillers,"Six experiments and one large observational study (n=33,720 households). Units are either experimentally exposed to economic insecurity (Studies 1-5: priming, layoff framing, unemployment experience, state unemployment context, past/future insecurity), or observed for painkiller consumption relative to economic insecurity indicators. Outcome measures include pain ratings (subjective), pain-tolerance tasks (behavioral threshold), or painkiller consumption (archival). Mediation analyses test loss-of-control as the psychological mechanism linking insecurity to pain. Meta-analytic integration across all studies testing the insecurity-pain link estimates overall effect magnitude.",mixed,randomized-experiment,mediation-or-moderation,few-confirmatory,clearly-operationalized,controls-and-power-reported,none,165.5,0.36,0.025
10.1177/0956797616639727,0,Social Psychology,2016,"parents' implicit views of failure as debilitating versus enhancing, and communication of these views to children",children's intelligence mind-sets (fixed vs. growth beliefs) and inferences of parental views,Multiple studies across four experiments link parental failure mind-sets (assessed via questionnaire) to parenting practices and children's subsequent intelligence mind-sets. Study 1 tests the correlational chain (parent failure view → parenting behavior → child intelligence belief). Study 2 details parenting practices that manifest failure mind-sets. Study 3a and 3b test whether children perceive and can report parents' failure views (vs. intelligence views) and whether perceived failure views predict children's intelligence beliefs. Study 4 uses a behavioral task (hypothetical failure scenario) to show that failure mind-sets causally influence parents' responses. Analysis examines both correlational and causal pathways.,mixed,quasi-experiment,mediation-or-moderation,few-confirmatory,clearly-operationalized,standard,none,132.0,,0.001
10.1177/0956797616640705,1,Social Psychology,2016,type of substitute offered (within-category vs. cross-category alternative to a desired stimulus) and relative quality of the substitute,subjective satisfaction or perceived effectiveness in satisfying cravings for the desired stimulus,"Units are asked to imagine or experience wanting a specific item (e.g., gourmet chocolate) but having access only to a substitute (e.g., store-brand chocolate [within-category] or granola bar [cross-category]). Experiments 1-2 measure predicted satisfaction; Experiments 3-4 measure actual consumption satisfaction. Units rate how well substitutes satisfy cravings. Quality of substitutes is varied (equivalent vs. inferior to the desired item). Comparisons test whether within-category substitutes, despite being more similar, produce a contrast effect (less satisfaction) unless quality-matched, whereas cross-category substitutes avoid this contrast penalty.",between-subjects,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,101.0,0.724143923,0.001
10.1177/0956797616650875,1,Cognitive Psychology,2016,observed regularities (typical patterns or norms) that units must explain and reason about,tendency to infer moral goodness or appropriateness from descriptions of what is typical,"Five studies with children and adults examine explanation-based reasoning about social regularities (e.g., giving roses on Valentine's Day). Units explain why observed patterns exist and then judge whether those patterns are good/appropriate ('ought'). Explanations are coded for inherence bias (attributing patterns to intrinsic properties vs. extrinsic/relational reasons). The comparison tests whether inherence-biased explanations (e.g., 'roses are beautiful') predict downstream value judgments more strongly than extrinsic explanations. Developmental analysis examines whether the bias emerges early and persists.",within-subjects,observational,simple-association,single-hypothesis,clearly-operationalized,standard,none,112.0,2.44,0.004
10.1177/0956797616651973,1,Cognitive Psychology,2016,relative ordinal rank of options at encoding versus relative rank at subsequent judgment (distribution change),reliance on original encoded rank versus updating to new absolute values or new distributions,"Units encode and evaluate options (items, values, or stimuli) within an initial distribution (e.g., prices in a set). Later, they make judgments about these items either from memory in a new distribution context or in a changed context. Three experiments test whether memory-based judgments preserve the original ordinal ranking (relative standing at encoding) or incorporate information about absolute quality or new distributional context. Analysis compares accuracy against benchmarks of absolute judgment or updated relative judgment, revealing whether units rely on original encoding rank despite distributional changes.",within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,90.0,0.212,0.044
10.1177/0956797616662271,1,Cognitive Psychology,2016,availability and accessibility of scientific explanations (information that scientists understand a phenomenon vs. scientists do not yet understand it),self-reported understanding of the phenomenon,"Four experiments test whether units overestimate their own understanding when scientists understand a phenomenon. Units are told either that scientists understand or do not understand a natural phenomenon, then rate their own understanding. Experiment 2 varies whether explanatory information is ostensibly accessible (presented visibly) versus secret (held by scientists). Experiments 3 and 4 rule out alternative explanations involving task demands or pragmatic inference. Units are not given actual explanatory details. Analysis tests the hypothesis that people confound access to others' knowledge with their own understanding (community-of-knowledge hypothesis).",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,106.0,0.2405,0.004
10.1177/0956797616667459,0,Cognitive Psychology,2016,task framing (spatial ability vs. empathetic/social ability) and inclusion of human figures in spatial perspective-taking test items,accuracy on perspective-taking (rotation or navigation) tasks,"Units complete perspective-taking tasks (e.g., mental rotation, viewpoint change) under different framings: (1) spatial condition (framed as spatial ability; males advantaged stereotype), (2) social condition (framed as empathy; females advantaged stereotype; items include human figures). Experiment 1 measures performance differences. Experiments 2 and 3 manipulate either stereotype threat induction or human-figure inclusion separately. Sex differences are examined as a function of framing, threat salience, and visual content. Task difficulty and gender effects are compared across conditions.",between-subjects,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,139.0,0.61,0.001
